Option Name,Contact,Address,Size_1Bedroom,Size_2Bedrooms,Rent,Rent_1Bedroom,Rent_2Bedrooms,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info
[Camden Interlocken](https://www.apartments.com/camden-interlocken-broomfield-co/z97w3pz/),844-856-7993,"[705 Eldorado Blvd, Broomfield, CO 80021](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/705+Eldorado+Blvd,+Broomfield,+CO+80021/data=!4m2!4m1!3e2)",840 Sq Ft,"1,030 Sq Ft","$1,569 - 2,339",1659-1909,2039-2329,"Dogs and Cats Allowed: We welcome your cats and dogs, up to three pets per apartment, with no weight limit. *Breed restrictions apply. We do not permit American Pit Bull Terrier, American Staffordshire Terrier, Staffordshire Bull Terrier, any mix of the previous breeds, or any other dog or breed deemed aggressive. See management for pet approval and deposit and fee information.  * $35 Monthly Pet Rent * $400 Fee * 3 Pet Limit",11.0 mi,15 mins,Surface Lot and Garage 1 space.,* Fitness Center * Pool,* Dishwasher,* 24-hour emergency maintenance * Beautifully landscaped grounds * Conference room * Double-sided fireplace * Double-sink vanities * Expanded cable TV * Front door trash pick-up * Full size washer & dryer * Full size washers & dryers * Garden tubs * Kitchen pantries * Kitchen pantry * Mantel * Microwave * Microwaves * Mirrored walls and doors * Online Maintenance Requests * Online Rent Payments * Parking * Patio or balcony with storage * Planned social programs * Refrigerator with icemaker * Resort-style swimming pool * Sauna and spa * State-of-the-art fitness center * Walk-in closets * Wi-Fi in common areas,* High Speed Internet Access * Washer/Dryer * Air Conditioning * Fireplace,,Variable,,* Built in 1999 * 340 Units/3 Stories,* Business Center,* Balcony * Patio
[Skyline](https://www.apartments.com/skyline-thornton-co/d2j0d3l/),866-403-8276,"[8849 Pearl St, Thornton, CO 80229](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/8849+Pearl+St,+Thornton,+CO+80229/data=!4m2!4m1!3e2)",504 Sq Ft,866 Sq Ft,"$1,025 - 1,435",1025-1175,1370-1435,"Dogs and Cats Allowed: We welcome 2 pets per apartment home. Pet rent is $30 per month per pet. One pet requires a $200 refundable deposit plus and a $200 non-refundable fee due upon pet's move in. Two pets requires $300 refundable deposit and $300 non-refundable fee upon pets move in. Please call for complete pet policy information. Some restrictions apply, please call for details  * $300 Deposit * $60 Monthly Pet Rent * $200 - 300 Fee * 65 lb Weight Limit * 2 Pet Limit",23.7 mi,29 mins,Surface Lot 2 spaces.,* Fitness Center * Pool * Playground,* Dishwasher * Disposal * Pantry * Kitchen * Oven * Range * Refrigerator * Freezer,* *In Select Units * 1st Floor * Air Conditioning * Cable & Satellite Ready * Dog Park * Laundry Facilities * Linen Closet* * No Patio Storage * Online Payments Available * Partial Renovation 1 BD * Partial Renovation 2 BD * Renovated 1 BD * Renovated 2 BD * Stackable Washer/Dryer* * Swimming Pool * Updated Appliances* * Upgraded Appliances * Upgraded Cabinets * View * Washer & Dryer Hookup* * Washer/Dryer Hook Ups * Washer/Dryer In Unit * Wood Style Flooring*,* Washer/Dryer * Washer/Dryer Hookup * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Storage Units * Tub/Shower * Fireplace,* Carpet * Vinyl Flooring * Dining Room * Walk-In Closets * Window Coverings,"6 months,7 months,9 months,12 months",* Laundry Facilities * Controlled Access * Maintenance on site * Property Manager on Site * Furnished Units Available * Trash Pickup - Door to Door * Renters Insurance Program * Planned Social Activities * Pet Play Area,* Built in 1985 * 464 Units/3 Stories * Furnished,* Clubhouse,* Courtyard * Picnic Area * Balcony * Patio * Lawn * Grill
[Arbour Commons](https://www.apartments.com/arbour-commons-westminster-co/gx7105y/),844-329-2440,"[663 W 148th Ave, Westminster, CO 80023](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/663+W+148th+Ave,+Westminster,+CO+80023/data=!4m2!4m1!3e2)",851 Sq Ft,"1,142 Sq Ft","$1,332 - 3,935",1472-2660,1910-2833,Dogs Allowed Up to 2 pets per apartment and additional deposits and fees for 2nd pet.  * $200 Deposit * $39 Monthly Pet Rent * $200 Fee * 140 lb Weight Limit * 2 Pet Limit,19.950000000000003 mi,25 mins,Surface Lot 1 space.,* Fitness Center * Sauna * Spa * Pool * Playground * Volleyball Court * Walking/Biking Trails * Gameroom * Media Center/Movie Theatre,* Stainless Steel Appliances * Kitchen,* Air Conditioner * Art Park * BBQ/Picnic Area * Bike Racks * Cable Ready * Car Care Center With Car Wash And Vacuum * Carpeting * Community Garden * Community Garden Plots With Educational Events * Courtyard * Dishwasher * Disposal * Dog Park * Free Weights * Large Closets * Media Room * Microwave * Movie Theater With 130 HD Screen * Movie Theater With 130” HD Screen * Onsite Regional Trail Access * Package Receiving * Patio/Balcony * Public Art Space * Recycling * Refreshment Lounge * Refrigerator * Unique Community Events And Programming * View * Washer/Dryer * Wheelchair Access * Window Coverings,* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Smoke Free * Cable Ready * Storage Units * Wheelchair Accessible (Rooms),,None,* Package Service * Maintenance on site * Property Manager on Site * On-Site Retail,* Built in 2014 * 394 Units/3 Stories,* Business Center * Clubhouse,* Sundeck * Grill * Picnic Area * Balcony * Yard
[Village Creek Apartments](https://www.apartments.com/village-creek-apartments-westminster-co/v2jxwkd/),866-500-0653,"[9052 Vance St, Westminster, CO 80021](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/9052+Vance+St,+Westminster,+CO+80021/data=!4m2!4m1!3e2)",632 Sq Ft,758 Sq Ft,"$1,178 - 4,700",1178-2705,1294-4700,Dogs and Cats Allowed * $35 Monthly Pet Rent * $300 - 600 Fee * 2 Pet Limit,17.3 mi,22 mins,Garage: $110 Assigned Parking. Garages available for $100 per month,* Fitness Center * Pool * Walking/Biking Trails,* Dishwasher * Disposal * Stainless Steel Appliances * Kitchen * Microwave * Oven * Range * Refrigerator,* Bark Park for our Furry Friends * Cable/Satellite Available * Central Heating and A/C * Covered Parking Available * High Speed Internet Available * Individual Climate Control * Near PublicTransit * Near Resturants/Shopping * Near Walking/Jogging Trails * NightPatrol * Other * Vaulted Ceilings* * Wood Floors*,* Air Conditioning * Heating * Cable Ready * Fireplace,* Vinyl Flooring * Vaulted Ceiling * Views * Walk-In Closets,,* Package Service * Wi-Fi at Pool and Clubhouse * Laundry Facilities * Property Manager on Site * 24 Hour Availability * Recycling,* Built in 1987 * 324 Units/3 Stories,* Clubhouse,* Balcony * Grill
[Verdant Apartment Homes](https://www.apartments.com/verdant-apartment-homes-boulder-co/0nef8p0/),720-961-6125,"[4970 Meredith Way, Boulder, CO 80303](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/4970+Meredith+Way,+Boulder,+CO+80303/data=!4m2!4m1!3e2)",677 Sq Ft,995 Sq Ft,"$1,700 - 3,365",1700-2800,2195-3365,Dogs and Cats Allowed * $25 Monthly Pet Rent * $350 - 450 Fee * 2 Pet Limit,1.6 mi,5 mins,Garage: $100,,* Stainless Steel Appliances * Kitchen * Range * Refrigerator,* 24/7 Fitness Center * 24/7 iLounge * 24/7 Resident Clubhouse * 24-hour Emergency Maintenance * Balcony/Patio * Blue Ribbon Rated Schools * Brushed Nickel Lighting & Hardware * Built-in Bookshelves* * Built-in Microwaves * Built-in Microwaves* * Car Charging and Bicycle Stations * Central Air Conditioning and Heating * Dog Park & Pet Spa * Garages Available * Gas Fireplaces * Gas Fireplaces* * Granite Countertops * Granite Countertops* * In-home Washers and Dryers * Modern White Cabinets * Modern White Cabinets* * Online Payments & Service Requests * Outdoor Kitchen * Outdoor Yoga Area * Stainless Steel Appliance Package * Stainless Steel Appliance Package* * Starbucks Coffee Bar * Subway Tile Backsplashes * Vacation-inspired Saltwater Pool with Cabanas * Walk-in Closets * Wood-style Flooring*,* High Speed Internet Access * Heating * Tub/Shower * Wheelchair Accessible (Rooms),* Hardwood Floors * Carpet * Window Coverings,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",,* Built in 1991 * 216 Units/3 Stories,,* Balcony
[Coronado Apartments](https://www.apartments.com/coronado-apartments-boulder-co/eex91jq/),844-245-0480,"[4977 Moorhead Ave, Boulder, CO 80305](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/4977+Moorhead+Ave,+Boulder,+CO+80305/data=!4m2!4m1!3e2)",640 Sq Ft,780 Sq Ft,"$1,310 - 1,645",1310,1535-1645,Cats Allowed Maximum 2 pets per apartment home  * $100 Deposit * $35 Monthly Pet Rent * $300 Fee * 2 Pet Limit * Must Be Spayed/Neutered,3.1 mi,7 mins,Surface Lot: $40 1 space; Assigned Parking. First parking space with apartment for a vehicle registered in your or a parent's name. $40 per mo. for a second space - same requirements.,* Bike Storage,* Dishwasher * Disposal * Ice Maker * Kitchen * Oven * Range * Refrigerator * Freezer,"* 5 min. from CU, 25 min. to Denver * Air Conditioning In 2nd And 3rd Floor Apartments * Air Conditioning in second and third level homes * Amazing Mountain Views In Some Apartments * Beautiful Mature Landscaping * Cable Television Service Available * Cats Allowed In Select Apartments * Close to Shopping and Parks * Completely Smoke-free Community * Courtesy Curfew Between 10pm and 7am * Dishwashers * Friendly on-site staff * Garbage Disposals * Internet/Cable Ready * Licensed Service Animals Welcome * Off-Street Assigned Parking * On Busline #204 #206 DIA DASH * Peaceful within Our Community * Reserved Parking * Self-cleaning Ovens * Spacious Apartments * Storage Lockers @$20 per month",* High Speed Internet Access * Wi-Fi * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Cable Ready * Storage Units * Tub/Shower,* Carpet * Vinyl Flooring * Dining Room * Views * Walk-In Closets * Linen Closet * Double Pane Windows * Window Coverings,12,* Laundry Facilities * Maintenance on site * Property Manager on Site * 24 Hour Availability * Trash Pickup - Curbside * Recycling * Online Services * Composting * Public Transportation,* Built in 1971 * 124 Units/3 Stories,* Storage Space,* Courtyard * Grill * Picnic Area * Balcony * Patio * Lawn * Grill
[Ridge at Mountain View](https://www.apartments.com/ridge-at-mountain-view-arvada-co/w7wz5rk/),844-275-8055,"[7865 Allison Way, Arvada, CO 80005](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/7865+Allison+Way,+Arvada,+CO+80005/data=!4m2!4m1!3e2)",700 Sq Ft,900 Sq Ft,"$1,369 - 3,614",1369-2090,1597-3614,Dogs Allowed: **Breed Restrictions Apply. Please contact the property for details. Per Dog  * $300 Deposit * $30 Monthly Pet Rent * $300 Fee * 2 Pet Limit,17.95 mi,25 mins,Surface Lot 1 space.,* Fitness Center * Pool * Walking/Biking Trails,* Dishwasher * Disposal * Stainless Steel Appliances * Microwave * Oven * Range * Refrigerator * Freezer * Breakfast Nook,"* 1 & 2 Bedroom Floorplans * 1- and 2-Bedroom Apartments * Cable Ready * Central Air Conditioning and Heat * Central Heat & Air * Decorative Ceiling Fans * Energy Saving Appliances * Expansive Green Space Throughout the Community * Faux Stainless-Steel Appliance Packages* * Floor-To-Ceiling Windows * Full Size Washer & Dryer * Hiking Nearby * Large Open Floor Plans * Large Walk In Closets* * Lush Landscaping with Lawns Throughout * Major Employer Discounts Offered * Minutes from Olde Town Arvada and Arvada Center for the Arts and Humanities * Monthly Resident Events * Mountain Views* * Near Pomona Lake, Arbor Lake and Standley Lake Bike and Hiking Trails * Near Pomona Lake, Lake Arbor & Standley Lake * New Clubhouse, State of the Art Fitness Center * New Modern Lighting* * Non-Smoking Community * Online Payments Available * Poolside Outdoor Kitchen * Spacious Living Room * Spacious Private Patio or Balcony* * Spacious Walk-in Closets * Stackable Washer & Dryer * Stainless Steel Appliances * USB Port for Charging Smart Devices in Kitchen* * Walking Distance to Shopping & Dining * Within Walking Distance to Target and Sprouts * Wood-Burning Fireplace * Wood-Style Flooring",* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Fireplace,* Walk-In Closets * Window Coverings * Large Bedrooms,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14",* Concierge * Public Transportation,* Built in 1983 * 168 Units/3 Stories,* Clubhouse,* Grill * Balcony * Grill
[Arvada Green](https://www.apartments.com/arvada-green-arvada-co/yr7ktgv/),844-814-3578,"[7569 W 72nd St, Arvada, CO 80003](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/7569+W+72nd+St,+Arvada,+CO+80003/data=!4m2!4m1!3e2)",650 Sq Ft,800 Sq Ft,"$1,095 - 1,545",1095-1125,1340,"Dogs Allowed: We accept 2 pets per apartment home. There is a $300 pet fee for each pet non-refundable. Pet rent is $25.00 per pet. For more information, please call our leasing office. Dog  * $50 Monthly Pet Rent * $300 - 600 Fee * 2 Pet Limit",19.35 mi,26 mins,Surface Lot 1 space.,* Pool * Playground * Gameroom,* Dishwasher * Disposal * Pantry * Range * Refrigerator * Freezer,"* *In Select Units * Additional Storage * Balcony, Deck or Patio* * BBQ Grills & Picnic Tables * BBQ Grills and Picnic Tables * Club Room with Billiards * High Speed Internet Access * Laundry Facilities * Laundry facility * Online Payments Available * Package Receiving * Recycling * Some Pets Allowed * Swimming Pool * Walk-in Closets*",* High Speed Internet Access * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Storage Units * Tub/Shower,* Hardwood Floors * Carpet * Views * Walk-In Closets,12 months,* Laundry Facilities * Recycling,* Built in 1971 * 108 Units/2 Stories,* Business Center * Breakfast/Coffee Concierge,* Courtyard * Grill * Balcony
[Copperwood Apartments](https://www.apartments.com/copperwood-apartments-westminster-co/z5s3w2y/),720-590-6287,"[8200 Sheridan Blvd, Westminster, CO 80003](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/8200+Sheridan+Blvd,+Westminster,+CO+80003/data=!4m2!4m1!3e2)",550 Sq Ft,750 Sq Ft,"$1,007 - 3,614",1007-3605,1259-3614,Dogs and Cats Allowed: Contact leasing office for full breed restriction list.  * $35 Monthly Pet Rent * $300 Fee * 2 Pet Limit,17.35 mi,21 mins,Surface Lot 1 space. Open Parking,* Fitness Center * Pool * Playground * Volleyball Court,* Dishwasher * Disposal * Kitchen * Oven * Range * Refrigerator,* Ample Green Space * BBQ Area * Individual Climate Control * NightPatrol * Other * Pets Welcome * Picnic Areas * Separate Dining Area * Sun Deck * Vinyl Plank Flooring * Wall-to-Wall Carpet,* High Speed Internet Access * Air Conditioning * Heating * Cable Ready * Satellite TV * Tub/Shower,* Hardwood Floors * Carpet * Dining Room * Views * Walk-In Closets,,* Laundry Facilities * Maintenance on site * Property Manager on Site * Laundry Service * Public Transportation,* Built in 1973 * 360 Units/3 Stories,* Business Center * Clubhouse,* Courtyard * Balcony * Patio
[Ten30](https://www.apartments.com/ten30-broomfield-co/h24lm90/),844-673-1108,"[1030 E 10th Ave, Broomfield, CO 80020](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1030+E+10th+Ave,+Broomfield,+CO+80020/data=!4m2!4m1!3e2)",475 Sq Ft,730 Sq Ft,"$1,055 - 1,315",1055-1240,1315,"Dogs Allowed: We welcome 2 pet per apartment home. There is a $300 non-refundable pet fee per pet. Pet rent is $25 a month per pet. There are no weight limits, only breed restrictions. Please call for complete pet policy information. Please be advised that the Pet Policies included here do not best represent the community’s current operations.To ensure accuracy, please visit our community website to learn more about our Pet Policies  * $300 Deposit * $50 Monthly Pet Rent * $300 - 600 Fee * 100 lb Weight Limit * 2 Pet Limit",14.5 mi,22 mins,Surface Lot 1 space.,* Fitness Center * Pool,* Dishwasher * Microwave * Range * Refrigerator,* *In Select Units * 24-Hour Availability * Faux Wood Flooring* * Laundry Facilities * Online Rent Payments * On-Site Management * Range * Stainless Steel Appliances * Stainless Steel Appliances* * Storage * Swimming Pool,* Air Conditioning * Heating,,"3 months,6 months,7 months,9 months,12 months",* Maintenance on site * Property Manager on Site * 24 Hour Availability,* Built in 1973 * Renovated in Jan 2002 * 209 Units/3 Stories,* Business Center * Clubhouse * Lounge,
[Ten49](https://www.apartments.com/ten49-broomfield-co/5mcn1gm/),844-453-4993,"[1049 E 9th Ave, Broomfield, CO 80020](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1049+E+9th+Ave,+Broomfield,+CO+80020/data=!4m2!4m1!3e2)",,871 Sq Ft,"$1,299 - 1,364",,1299-1364,"Dogs Allowed: We welcome 2 pet per apartment home. There is a $300 non-refundable pet fee per pet. Pet rent is $25 a month per pet. There are no weight limits, only breed restrictions. Please call for complete pet policy information. 100 pounds combined for both pets  * $250 Deposit * $50 Monthly Pet Rent * $300 - 600 Fee * 100 lb Weight Limit * 2 Pet Limit",14.7 mi,21 mins,Surface Lot 1 space.,* Fitness Center * Spa * Pool * Playground * Bike Storage * Racquetball Court * Tennis Court,* Dishwasher * Disposal * Ice Maker * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,* *In Selected Units * BBQ Grill * Breakfast Bar * Faux Wood Flooring* * Hot Tub * Laundry Facilities * Linen Closet * Online Rent Payments * On-Site Maintenance * Racquetball * Vintage * Volleyball Court,* Air Conditioning * Heating * Ceiling Fans * Cable Ready * Tub/Shower,* Carpet * Vinyl Flooring * Dining Room * Window Coverings,"3 months,6 months,7 months,9 months,12 months",* Laundry Facilities * Maintenance on site,* Built in 1974 * 213 Units/3 Stories,* Business Center * Clubhouse * Lounge,* Courtyard * Picnic Area * Grill
[Flatiron View Apartments](https://www.apartments.com/flatiron-view-apartments-boulder-co/rwnrk91/),720-259-8632,"[4920 Thunderbird Cir, Boulder, CO 80303](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/4920+Thunderbird+Cir,+Boulder,+CO+80303/data=!4m2!4m1!3e2)",470 Sq Ft,800 Sq Ft,"$1,192 - 2,217",1192-1851,1433-2217,Cats Allowed: One inside cat allowed with a $300 non-refundable pet fee and $25.00 per month pet rent. Two inside cats are allowed with a $400 non-refundable pet fee and $30 per month pet rent. Cats must have current veterinarian records and be spayed or neutered. 25 lb. weight limit per cat.  * 25 lb Weight Limit * 2 Pet Limit,3.3 mi,7 mins,Surface Lot 1 space. Off Street Parking; Lot Parking,* Sauna * Pool * Walking/Biking Trails,* Dishwasher * Disposal * Island Kitchen * Eat-in Kitchen * Kitchen * Oven * Range * Refrigerator * Freezer,* 2 Blocks to RTD Park and Ride * Close to Meadows Shopping Center * Clubhouse with Pool and Sauna * Controlled building access * Crown Molding * CU Boulder * Dishwasher/AC/Storage * Double Paned Windows * Five mins to the East Boulder Rec Center * Large Parking Lot * Meadows Shopping Ctr 1/4 mile Away * Off Street Parking * On Bus Line * One Block From the Table Mesa Park and Ride * On-site management & maintenance * Sauna * Sparkling Swimming Pool * Three mins to the Meadows Shopping Center * Walk in closet and fireplace,* High Speed Internet Access * Air Conditioning * Heating * Smoke Free * Cable Ready * Storage Units * Tub/Shower * Fireplace,* Carpet * Vinyl Flooring * Dining Room * Den * Views * Walk-In Closets * Linen Closet * Window Coverings * Large Bedrooms,"1 month,2 months,3 months,6 months,7 months,9 months,12 months,13 months",* Wi-Fi at Pool and Clubhouse * Laundry Facilities * Maintenance on site * 24 Hour Availability * Recycling * Renters Insurance Program * Composting * Public Transportation,* Built in 1970 * 279 Units/3 Stories,* Clubhouse * Storage Space,* Courtyard * Balcony * Grill
[Two Nine North](https://www.apartments.com/two-nine-north-boulder-co/npm4yfn/),303-214-1922,"[1955 30th St, Boulder, CO 80301](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1955+30th+St,+Boulder,+CO+80301/data=!4m2!4m1!3e2)",792 Sq Ft,"1,386 Sq Ft","$2,289 - 4,675",2289-3549,2945-4675,Dogs and Cats Allowed * $200 Deposit * $40 Monthly Pet Rent * $200 Fee * 1 Pet Limit,0.65 mi,3 mins,Surface Lot and Other,* Fitness Center * Spa * Pool * Bike Storage * Walking/Biking Trails * Gameroom,* Dishwasher * Disposal * Ice Maker * Granite Countertops * Pantry * Island Kitchen * Kitchen * Microwave * Oven * Refrigerator * Freezer,* 10' Ceilings * 100% Smoke Free Community * Air Conditioner & Ceiling Fan * Bike station & Bike Racks * Bike Storage * Built-In Desks/Office Nooks* * Central Air * Ceramic Tile Floors in Baths * Club Room and Cyber Cafe * Contemporary Kitchens with Designer Cabinetry * Controlled Community Access * Dog Wash * Electric Fireplaces* * Energy Efficient Appliances Including W & D * Extra Storage * Faux Wood Flooring * Fiberglass Windows (Up To 6') & Windows Coverings * Full Size Washer and Dryer * Generously Oversized Walk-in Closets * Granite Counter tops and Backsplashes * Hardwood Style Floors in Kitchen and Entry * LuxerOne Parcel Lockers * Minutes away from Google Boulder * Outdoor Firepit and Kitchen * Oval Tubs with Lounge Backs* * Package Receiving * Private Balconies and Patios * Recycling * Roof Top Deck * Saltwater Pool and Hot Tub * Showers with Built-In Seats and Curved Rods* * Sliding Barn Doors* * State of the Art Fitness Center * Stunning mountain views* * Swimming Pool with Sundeck and Jacuzzi * Underground Parking * Under-Mounted Bathroom Sinks * Whirlpool Energy-Efficient Appliances,* High Speed Internet Access * Wi-Fi * Washer/Dryer * Air Conditioning * Heating * Smoke Free * Cable Ready * Storage Units * Double Vanities * Tub/Shower * Fireplace * Wheelchair Accessible (Rooms),* Hardwood Floors * Carpet * Tile Floors * Vinyl Flooring * Den * Vaulted Ceiling * Views * Walk-In Closets * Window Coverings,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",* Package Service * Wi-Fi at Pool and Clubhouse * Laundry Facilities * Controlled Access * Maintenance on site * Property Manager on Site * Doorman * Concierge * Video Patrol * 24 Hour Availability * Recycling * Renters Insurance Program * House Sitter Services * Online Services * Planned Social Activities * Health Club Discount * Guest Apartment * Pet Play Area * Pet Washing Station * Public Transportation,* Built in 2010 * 238 Units/4 Stories,* Elevator * Business Center * Clubhouse * Lounge * Storage Space * Disposal Chutes * Conference Room * Corporate Suites,* Gated * Sundeck * Cabana * Courtyard * Balcony * Deck * Grill
[Gunbarrel Center](https://www.apartments.com/gunbarrel-center-boulder-co/mjw10fh/),844-595-0155,"[5340 Gunbarrel Center Ct, Boulder, CO 80301](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/5340+Gunbarrel+Center+Ct,+Boulder,+CO+80301/data=!4m2!4m1!3e2)",747 Sq Ft,"1,199 - 1,247 Sq Ft","$1,659 - 5,871",1659-4634,2144-5871,Dogs and Cats Allowed We Love Pets!*  * $200 Deposit * 3 Pet Limit * Must Be Spayed/Neutered,6.449999999999999 mi,12 mins,Surface Lot and Street 1 space.,* Fitness Center * Playground * Bike Storage * Walking/Biking Trails * Gameroom,* Dishwasher * Disposal * Ice Maker * Pantry * Kitchen * Microwave,"* 5340 Gunbarrel Center Court	RHL2016-00909 * 5378 Gunbarrel Center Court	RHL2016-00916 * 5385 Gunbarrel Center Court 	RHL2016-00918 * An indoor golf and sports simulator * Attached Garages* * Coffee Bar with State-of-the-Art TopBrewer * Demonstration Kitchen * Excellent Access to Highway 119 * Expansive 9-Foot Ceilings* * Flush Set Refrigerator* * Flush-Set Refrigerator* * Flush-Set Refrigerators* * Full-Size Washers & Dryers * GE Stainless Steel Kitchen Appliances * Golf Simulator * Gourmet Kitchens with Custom Backsplashes * Gourmet Kitchens with Kitchen Backsplash * Kitchen Pantries* * Kitchen Pantry* * Large, Energy-Efficient, Dual-Pane Windows * Main Street Retail & Restaurants * One-, Two- & Three-Bedroom Residences * One-, Two- and Three-Bedroom Residences * Oversized Walk-In Closets* * Personal Balconies/Patios* * Pet Park * Picnic Area with Grilling Station * Playground, Picnic Area & BBQ Grills * Quartz Kitchen Countertops * Smoke Free Community * Sports Simulator * Under-Counter Mounted Kitchen Sink * Under-Counter Mounted Kitchen Sinks * Upgraded Chrome Finishes * Wood-Style Vinyl Flooring",* High Speed Internet Access * Smoke Free * Cable Ready * Storage Units,* Vinyl Flooring * Vaulted Ceiling * Walk-In Closets * Double Pane Windows,None,* Concierge * 24 Hour Availability * Recycling * Car Charging Station,* Built in 2015 * 251 Units/3 Stories,* Business Center * Clubhouse * Storage Space * Conference Room * Corporate Suites,* Grill * Balcony * Patio
[Montair Apartment Homes](https://www.apartments.com/montair-apartment-homes-thornton-co/c8m4s1d/),720-961-6046,"[8901 Grant St, Thornton, CO 80229](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/8901+Grant+St,+Thornton,+CO+80229/data=!4m2!4m1!3e2)",750 Sq Ft,"1,050 Sq Ft","$1,198 - 2,074",1198-1686,1279-2074,Dogs and Cats Allowed 3 pets maximum per household. Deposit and one-time fee are the same for 1-3 pet(s). $50 pet rent PER dog and $35 pet rent PER cat.  * $300 Deposit * $35 Monthly Pet Rent * $100 Fee * 95 lb Weight Limit * 2 Pet Limit,23.6 mi,28 mins,"Surface Lot: $8 1 space. one bed 1-car space, Two bedrm 2-car space",* Pool * Playground * Basketball Court * Tennis Court * Volleyball Court,* Dishwasher,"* Air Conditioner * Air Conditioning * Balconies, Patios, Or Decks * Cable Ready * Carpeting * Dishwasher * Disposal * European-Style Fixtures & Faucets* * European-Style Fixtures and Faucets * * Fireplace * * Garbage Disposal * In-Home Washer & Dryer * Package Receiving * Private Balcony, Patio, or Deck * Refrigerator * Skylight * * Updater Moving Partner * Upgraded Cabinets * Vaulted Ceilings * * Walk-In Closets * Washer/Dryer In Unit * Wheelchair Access * * Window Coverings",* High Speed Internet Access * Washer/Dryer * Air Conditioning * Wheelchair Accessible (Rooms),,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",* Package Service * Maintenance on site * Property Manager on Site * Public Transportation,* Built in 1984 * 320 Units/3 Stories,* Clubhouse,
[Ironhorse Apartments](https://www.apartments.com/ironhorse-apartments-longmont-co/5dhxkfm/),720-239-1380,"[1600 Iron Horse Dr, Longmont, CO 80501](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1600+Iron+Horse+Dr,+Longmont,+CO+80501/data=!4m2!4m1!3e2)",710 Sq Ft,"1,088 Sq Ft","$1,399 - 3,998",1399-2825,1950-3998,"Dogs and Cats Allowed: Breed restrictions apply, see FAQ's for details Dogs & Cats Welcome  * $35 Monthly Pet Rent * $250 Fee * 2 Pet Limit",16.1 mi,27 mins,Surface Lot 1 space.,* Fitness Center * Spa * Pool * Bike Storage * Walking/Biking Trails,* Dishwasher * Disposal * Granite Countertops * Stainless Steel Appliances * Microwave * Oven,* 100% Smoke-Free Community * Across from UCHealth - Longs Peak Hospital * Cable Ready * Ceiling Fan * Central A/C * Covered Bike Racks at Every Building * Electronic Thermostat * EV Charging Station * Full-Sized Washers and Dryers * Granite Countertops in Kitchens and Bathrooms * Heated Indoor Bike and Dog-Washing Station * Hotel-Style Soaking Tubs * Jogging and Biking Trails Nearby * Large Kitchens with Breakfast Bars * Large Triple Glazed Windows that Reduce Sound * Nine-Foot Ceilings * Off Street Parking * Off-Leash Dog Run * Organized Resident Activites * Outdoor Lounge with BBQ Grills * Oversized Closets * Private Covered Patios/Balconies * Scenic Views of Longmont and Rocky Mountains * Stainless Steel EnergyStar Kitchen Appliances * Vinyl Wood Plank Flooring,* High Speed Internet Access * Washer/Dryer * Air Conditioning * Smoke Free,* Vinyl Flooring * Vaulted Ceiling * Views * Walk-In Closets,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",* 24 Hour Availability * Pet Play Area,* Built in 2014 * 220 Units/3 Stories,* Business Center * Clubhouse * Lounge,* Grill
