Option Name,Contact,Address,Size_1Bedroom,Size_2Bedrooms,Rent,Rent_1Bedroom,Rent_2Bedrooms,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info
[Skye Crest](https://www.apartments.com/skye-crest-lakewood-co/1vf0sc5/),720-502-0478,"[7846 W Mansfield Pky, Lakewood, CO 80235](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/7846+W+Mansfield+Pky,+Lakewood,+CO+80235/data=!4m2!4m1!3e2)",660 Sq Ft,987 Sq Ft,"$1,310 - 2,020",1310-1410,1550-1750,Dogs Allowed: Pet Welcome! Two Pet Maximum - Breed Restrictions apply!  * $40 Monthly Pet Rent * $400 Fee * 2 Pet Limit,13.25 mi,24 mins,Surface Lot 1 space.,* Fitness Center * Spa * Pool * Basketball Court * Tennis Court,* Dishwasher * Disposal * Ice Maker * Stainless Steel Appliances * Pantry * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,* 24-Hour Business Center * 24-Hour Courtesy Patrol * 24-Hour Emergency * 24-hour Fitness Room (Ask for Details) * 24-Hour Maintenance Request Submittals * BarkPark * Carports Available (Ask for Details) * Clubhouse * Coffee Bar * Maintenance * Online Rent Payments Available * Oversized Closets * Partnered With EPremiuminsurance.Com * Pets Welcome* * Private Garages* * Sun Deck * Swimming Pool * Wheelchair Access * Year Round Spa,* High Speed Internet Access * Wi-Fi * Washer/Dryer * Washer/Dryer Hookup * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Security System * Storage Units * Tub/Shower * Fireplace * Handrails * Sprinkler System * Framed Mirrors * Wheelchair Accessible (Rooms),* Hardwood Floors * Carpet * Vinyl Flooring * Dining Room * Crown Molding * Vaulted Ceiling * Views * Walk-In Closets * Linen Closet * Window Coverings,,* Package Service * Wi-Fi at Pool and Clubhouse * Maintenance on site * Property Manager on Site * Recycling * Renters Insurance Program * Online Services * Pet Play Area,* Built in 1998 * 300 Units/3 Stories,* Business Center * Clubhouse * Breakfast/Coffee Concierge,* Sundeck * Grill * Picnic Area * Balcony * Patio * Porch * Grill
[Acoma](https://www.apartments.com/acoma-denver-co/t12hpz8/),844-674-4579,"[816 Acoma St, Denver, CO 80204](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/816+Acoma+St,+Denver,+CO+80204/data=!4m2!4m1!3e2)",778 - 792 Sq Ft,"1,619 Sq Ft","$1,989 - 9,585",1989-5832,3213-9585,"Dogs and Cats Allowed: Acceptable animals include domestic cats and dogs. Dogs that are purebreds or mixes of the following breeds are prohibited: Akita, Alaskan Malamute, Chow-Chow, Doberman, German Shepherd, Great Dane, Pit Bull (American Staffordshire Terrier, American Pit Bull Terrier, Staffordshire Bull Terrier), Rottweiler, Saint Bernard, Shar Pei, and Siberian Husky. All other animals including exotic pets are prohibited. ALL ANIMALS MUST BE AUTHORIZED BY MANAGEMENT. Please see leasing center for details.  * $50 Monthly Pet Rent * $450 Fee * 2 Pet Limit",2.1500000000000004 mi,10 mins,Covered and Other,* Fitness Center * Spa * Pool * Media Center/Movie Theatre,,* 20 ft. ceilings * Built-in bookcases and desk * Cable * CeilingFan * ControlledAccess * DishWasher * Disposal * Dry cleaning service * Dryer * Electric car charging stations * Fireplace * Floor-to-ceiling windows * Front load washer and dryer * Garden tubs * Granite counters * Hardwood floors * Heat * Individual Climate Control * Microwave * Mountain bikes * Off-leash pet park * Patio/ Balcony * Pendant lighting * Personal trainer * Pet friendly (dogs and cats) * Range * Refrigerator * Resident grilling area * Stainless steel appliances * Stunning views * Tile backsplash * Wag! Preferred Partner * Walk-in closets,,,Please contact us for available lease terms.,* Package Service * Maintenance on site * Concierge * 24 Hour Availability * Furnished Units Available * Guest Apartment,* Built in 2009 * 223 Units/17 Stories * Furnished,* Elevator * Business Center * Clubhouse * Lounge * Storage Space * Conference Room,* Gated
[The Verve](https://www.apartments.com/the-verve-denver-co/4g121pl/),720-943-5763,"[1490 Delgany St, Denver, CO 80202](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/1490+Delgany+St,+Denver,+CO+80202/data=!4m2!4m1!3e2)",744 Sq Ft,"1,142 Sq Ft","$1,515 - 4,883",1601-3279,2798-4883,Dogs Allowed: Breed restrictions may apply. $300 non-refundable pet fee/per pet. $35/month per rent/per pet. Maximum of 2 pets.  * $35 Monthly Pet Rent * $600 Fee * 2 Pet Limit,0.5 mi,4 mins,Other: $200 1 space; Assigned Parking.,* Walking/Biking Trails * Gameroom,* Dishwasher * Disposal * Ice Maker * Stainless Steel Appliances * Microwave * Range * Refrigerator * Freezer,"* 18' glass wall overlooking the pool deck * Amazing views of downtown * Beautiful city and mountain views * City view sky lounge * Common areas * Elevated pool deck * Engineered wood flooring and carpet in bedroom * Entertainment-ready kitchen * Expansive 24-Hour fitness room * Finished and exposed concrete ceilings * Free WIFI * Gallery style main lobby * Generously sized private balconies * Granite countertops in Kitchen and Bathroom * Guest suite available* * High efficiency, front loading washer and dryer included * Individual Climate Control * NightPatrol * Operable windows * Other * Outdoor fireplace * Oversized gas grill * Package acceptance * Pool & spa with city and mountain views * Reserved garage parking * Secured bike storage * Shuffleboard and pool table * Stainless steel appliances included * State of the art equipment includes: treadmills, stair climbers, ellipticals, stationary bikes an... * State of the art equipment includes: treadmills, stair climbers, ellipticals, stationary bikes and f * Two convenient building entrances at Wewatta & Delgany * Two defined color palettes * Walk-in shower with frameless glass door * Wood cabinets * Yoga room",* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Smoke Free * Cable Ready,* Hardwood Floors * Views,,* Laundry Facilities,* Built in 2014 * 286 Units/10 Stories * Energy Star Rated,* Multi Use Room * Storage Space,* Balcony * Deck * Grill
[Retreat at the Flatirons](https://www.apartments.com/retreat-at-the-flatirons-broomfield-co/f0zyxzs/),720-457-9065,"[13780 Del Corso Pky, Broomfield, CO 80020](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/13780+Del+Corso+Pky,+Broomfield,+CO+80020/data=!4m2!4m1!3e2)",862 Sq Ft,"1,507 Sq Ft","$1,445 - 4,325",1445-2490,1915-3075,"Dogs Allowed: Breed restrictions apply for dogs. Akitas, Alaskan Malamutes, Chows, Doberman Pinschers, German Shepherds, Mastiffs, Pit Bulls, Presa Canarios, Rottweilers, Shar Peis, Siberian Huskies, Staffordshire Terriers, Wolf Hybrids or any variation or mixes of these breeds. Pets are welcome (with some breed restrictions) and with a maximum of two pets per apartment. There is a one-time $500 pet fee for one pet, or $650 for 2 pets.There is also a monthly pet rent of $35 per pet.  * $25 Monthly Pet Rent * $500 Fee * 100 lb Weight Limit * 2 Pet Limit",18.05 mi,23 mins,Surface Lot 1 space.,* Fitness Center * Spa * Pool * Playground * Walking/Biking Trails,* Dishwasher * Disposal * Ice Maker * Pantry * Island Kitchen * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,"* ApartmentRatings 2018 Top Rated Community * Bike and Walking Trails * Breakfast Bars * Dog Wash * Double Sinks in Bathrooms* * ENERGY STAR Certified Building * Fireplaces in Select Apartments* * Full-size Washers and Dryers * Garden Style Apartments * Ideal Location: * Kitchen Backsplash * Large Off-Leash Dog Park * Minutes to Boulder and Downtown Denver * Mountain, City and Golf Course Views Available * Pet Friendly Community * Picnic Area with BBQ Grill * Quartz Countertops * Repair Shop for Skis & Bicycles * Resident Portal * Spacious Walk-in Closets * Stainless Steel Appliances * Ten-foot Ceilings in Third Floor Apartments * Valet Trash Service * Walk-in Shower* * Walking Distance to RTD Park and Ride * Wi-Fi at Poolside, Clubhouse and Fitness Center",* High Speed Internet Access * Wi-Fi * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Satellite TV * Trash Compactor * Storage Units * Double Vanities * Tub/Shower * Fireplace * Sprinkler System,* Hardwood Floors * Vinyl Flooring * Dining Room * Mud Room * Office * Walk-In Closets * Linen Closet * Double Pane Windows * Window Coverings * Wet Bar,None,* Package Service * Maintenance on site * Property Manager on Site,* Built in 2014 * 374 Units/3 Stories,* Business Center * Clubhouse * Breakfast/Coffee Concierge,* Gated * Cabana * Grill * Picnic Area * Balcony * Deck * Yard * Lawn * Grill
[Alameda Station](https://www.apartments.com/alameda-station-denver-co/exl0zqq/),720-330-2695,"[275 S Cherokee St, Denver, CO 80223](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/275+S+Cherokee+St,+Denver,+CO+80223/data=!4m2!4m1!3e2)",715 Sq Ft,"1,054 Sq Ft","$1,486 - 3,723",1611-2470,1903-3427,Dogs and Cats Allowed: We welcome two pets per apartment home. There is a $350 pet fee for the first pet or $500 for two. Pet rent is $35 per month. Please call our Leasing Office for complete pet policy information.  * $45 Monthly Pet Rent * $350 - 500 Fee * 2 Pet Limit,4.75 mi,11 mins,Other <p>Parking is $25(garage access for unassigned spots) <p>$50 to $65 (for reserved and premium reserved spots),* Fitness Center * Pool,* Dishwasher * Disposal * Microwave * Refrigerator,"* Additional Storage Available * BBQ Grilling Station * Bike & Ski Shop * Bike Storage Available * Bike/Ski Shop * Clubroom with Billiards &amp; Bar * Clubroom with Billiards, Lounge & Bar * Community Courtyard * Cyber Cafe * Double Vanity Sinks* * Fireplaces* * Flat-top Stove * Gated Garage with Reserved Parking Available * Kitchen Island* * Kitchen Pantry* * Large Walk-in Closets * LEED Gold Certified * Mountain or City Views* * Outdoor Fire Places * Patio/Balcony * Pet Grooming Station * Pet Park * Proximity to Alameda Station Light Rail * Roof-Top Sky Lounge with Bar * Stainless Steel Appliances * Stand Alone Shower* * Valet Trash * Valet Trash Service * Wash &amp; Dryer * Zen Garden",* High Speed Internet Access * Washer/Dryer * Air Conditioning * Ceiling Fans,* Vinyl Flooring * Walk-In Closets,Variable,* Maintenance on site * Property Manager on Site,* Built in 2014 * 338 Units/4 Stories,* Clubhouse * Storage Space,* Courtyard * Balcony * Grill
[Westridge](https://www.apartments.com/westridge-aurora-co/mdz5ryl/),720-251-4217,"[445 N Helena Ct, Aurora, CO 80011](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/445+N+Helena+Ct,+Aurora,+CO+80011/data=!4m2!4m1!3e2)",703 Sq Ft,857 Sq Ft,"$1,300 - 2,080",1300,1525-1625,Dogs Allowed: Breed restrictions apply. We have a breed and weight restriction. We are a pet friendly community and you can have up to 3 pets pet apartment home. Fees are per pet.  * $250 Deposit * $30 Monthly Pet Rent * $300 Fee * 99 lb Weight Limit * 2 Pet Limit,15.399999999999999 mi,24 mins,Surface Lot 297 spaces. Every Resident is allowed 1 Parking Permit for parking lot with open parking for residents with some guest parking.,* Fitness Center * Pool * Playground * Bike Storage,* Dishwasher * Disposal * Ice Maker * Stainless Steel Appliances * Eat-in Kitchen * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer * Breakfast Nook * Instant Hot Water,* 2 Double Sink Bathrooms * 3 Blocks from RTD Light Rail Station * 9 Foot Or Vaulted Ceilings * All LED Exterior Lighting * All Renovated Units- 2 Beautiful Styles * All Stainless Steel Appliances* * Amazon Hub Parcel Room In 04/2018 * Aurora apartments feature something for everyone. * Beautiful Mountain Views* * Brushed Nickel Hardware * Central Air and Heat * Central Air and Heating * Dettached Garages Available * Enclosed Playground * Espresso Cabinetry * Espresso Plank Flooring * Fitness Center W/ Adjacent Play Room * Fitness Center with Adjacent Playroom * Full Size Washer and Dryer Included * Fully Renovated In 2 Designed Styles * Garden Tub * Gorgeous Mountain Views* * Green Initiative Property * LED Interior Lighting* * Modern White Cabinetry* * Night Patrol * Oversized Closets * Peloton Spin Bike * Penthouse Suite Apartment w/ 2 Balconies * Pergola Over Picnic Area * Playground and Kidz Korner for families * Professional Landscaping * Secured Building Entrances * Secured Entry to Buildings * Sparkling seasonal pool * Sprawling landscape for residents with pets * Stand Up Shower * State-of-the-art fitness center * Storage Units Available * Two-tone Paint * Work from home at our business center. * Year-round spa,* High Speed Internet Access * Wi-Fi * Washer/Dryer * Air Conditioning * Heating * Cable Ready * Satellite TV * Storage Units * Double Vanities * Tub/Shower * Sprinkler System * Wheelchair Accessible (Rooms),* Hardwood Floors * Carpet * Vinyl Flooring * Dining Room * Family Room * Office * Den * Built-In Bookshelves * Crown Molding * Vaulted Ceiling * Bay Window * Views * Linen Closet * Window Coverings,,* Package Service * Community-Wide WiFi * Wi-Fi at Pool and Clubhouse * Laundry Facilities * Controlled Access * Maintenance on site * Property Manager on Site * 24 Hour Availability * Online Services * Pet Care * Pet Play Area,* Built in 2001 * 220 Units/3 Stories,* Business Center * Clubhouse * Storage Space,* Grill * Picnic Area * Balcony * Patio * Deck * Yard * Grill
[The Grove at City Center Apartments](https://www.apartments.com/the-grove-at-city-center-apartments-aurora-co/z3vln3w/),844-578-0429,"[14192-14304 E Tennessee Ave, Aurora, CO 80012](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/14192-14304+E+Tennessee+Ave,+Aurora,+CO+80012/data=!4m2!4m1!3e2)",704 Sq Ft,924 Sq Ft,"$1,225 - 1,590",1225-1325,1495-1590,Dogs and Cats Allowed Welcomes your pets with a small deposit.  * $200 Deposit * $30 Monthly Pet Rent * $250 Fee * 2 Pet Limit * Must Be Spayed/Neutered,16.65 mi,24 mins,Surface Lot 1 space.,* Fitness Center,* Dishwasher * Disposal * Stainless Steel Appliances * Kitchen * Range,* Air Conditioning * BBQ Area * BBQ Areas * Cable Ready * Carpeting * Carport * Carports * Ceiling Fan * Ceiling Fans * Central heat * Clubhouse * Complimentary Wi-Fi in Leasing Office/Cyber Cafe * Controlled Access/Gated * Courtyard * Custom cabinetry* * Cyber Cafe * Dishwasher * Dishwashwer * Electric range * Fireplace * Free Weights * Garbage disposal * Hardwood Floors * In home washer and dryer* * Individual Climate Control * King-sized bedroom * Linen closet * Mountain/greenspace * NightPatrol * On-Site Maintenance * On-Site Management * Open layout * Other * Outdoor Pool * Package Receiving * Private patio / balcony * Private Patio or Balcony * Refrigerator * Separate dining area * Stainless steel appliances* * Vinyl plank flooring*,* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Tub/Shower * Fireplace,* Hardwood Floors * Carpet * Dining Room * Walk-In Closets * Window Coverings,,* Controlled Access * Renters Insurance Program * Pet Play Area,* Built in 1981 * 421 Units/3 Stories,* Business Center * Clubhouse,* Courtyard * Grill
[Kent Place Residences](https://www.apartments.com/kent-place-residences-englewood-co/9dy00k5/),844-279-5273,"[3465 S Gaylord Ct, Englewood, CO 80113](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/3465+S+Gaylord+Ct,+Englewood,+CO+80113/data=!4m2!4m1!3e2)",976 Sq Ft,"1,278 Sq Ft","$1,599 - 9,526",1599-5307,2330-5870,"Dogs and Cats Allowed Residents are welcome to have spayed or neutered cats and dogs — up to three pets maximum. Pet owners will be charged an additional deposit of $100, a one-time fee of $300 and a rental surcharge of $30 per month, per pet. Please contact us for a l...  * $100 Deposit * $30 Monthly Pet Rent * $300 Fee * 3 Pet Limit",9.4 mi,19 mins,Garage: $50 - 90 Assigned Parking.,* Fitness Center * Sauna * Spa * Pool * Bike Storage * Walking/Biking Trails * Gameroom * Media Center/Movie Theatre,* Dishwasher * Disposal * Ice Maker * Granite Countertops * Stainless Steel Appliances * Pantry * Island Kitchen * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,"* *only accessible from select apartment homes * 24 Hour Maintenance * 9 to 12 Ceilings Providing Ample, Natural Light * 9’ to 12’ Ceilings Providing Ample, Natural Light * Access – Electronically Controlled Access * Access Electronically Controlled Access * Air Conditioner (Central) * Bocce – Bocce Ball Court * Bocce Ball Court * Bocce Bocce Ball Court * Breathe – Yoga Studio * Breathe Yoga Studio * Cable Ready * Charge Bar – Electric Vehicle Charging Station * Charge Bar Electric Vehicle Charging Station * Cinema – Theatre & Media Room * Cinema Theatre & Media Room * Club Fit – Fitness Center & Steam Rooms * Club Fit Fitness Center & Steam Rooms * Complimentary Bike Rentals * Concierge – Personal Attention & Services * Concierge Personal Attention & Services * Controlled Access * Cyber Café * Dog Walking * Dry Cleaning * Electric Vehicle Charging Station * Electronic Rent Payment * Electronically-Controlled Access * Energy-Efficient Appliances * Fetch – Pet Play Area * Fetch Pet Play Area * Fireplace (Gas) * Fireside Lounge – Outdoor Grill & Kitchen * Fireside Lounge Outdoor Grill & Kitchen * Fitness Center & Steam Rooms * Full-Size Washers & Dryers * Garage – Controlled Access Parking Garage * Garage Controlled Access Parking Garage * Golf Simulator * Grocery Delivery * Group Fitness Classes * Grove – Lush Courtyards and Community Garden * Grove Lush Courtyards and Community Garden * Guest Suite * Hardwood-Style Plank Flooring * Individual Climate Control * Large Closets * Large, Walk-In Closets * Lush Courtyards and Community Garden * Massage Room * Non-Smoking Community * Onsite Masseuse * Open Air Swimming Pool & Spas * Outdoor Grill & Kitchen * Package Receiving * Personal Training * Pet Play Area * Plush, Carpeted Bedrooms * Preferred Employer Available * Press – Cyber Café * Press Cyber Café * Private Balcony * Private Patio * Retreat – Open Air Swimming Pool & Spas * Retreat Open Air Swimming Pool & Spas * Ride – Complimentary Bike Rentals * Ride Complimentary Bike Rentals * Roof Top Lounge * Scenic View * Short Term Lease Available * Solid Surface Countertops * Stainless Steel Appliances * Steam Rooms * Sudz – Full Service Pet Grooming * Sudz Full Service Pet Grooming * Sunset Terrace – Roof Top Lounge* * Sunset Terrace Roof Top Lounge* * Swing – Virtual Golf * Swing Virtual Golf * The Loop – Walking Trail * The Loop Walking Trail * The Palmer Suite – Guest Suite * The Palmer Suite Guest Suite * Theatre & Media Room * Tile Flooring and Wall Accents in Bathrooms * View * VIP Discounts at Local Retailers * Virtual Golf * Walking Trail * Yoga Studio",* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Cable Ready * Storage Units * Double Vanities * Tub/Shower * Fireplace * Intercom * Sprinkler System * Framed Mirrors * Wheelchair Accessible (Rooms),* Hardwood Floors * Carpet * Tile Floors * Vinyl Flooring * Dining Room * Mud Room * Views * Walk-In Closets * Linen Closet * Double Pane Windows * Window Coverings,None,* Package Service * Wi-Fi at Pool and Clubhouse * Controlled Access * Maintenance on site * Property Manager on Site * Doorman * Concierge * Video Patrol * On-Site Retail * Recycling * Renters Insurance Program * Dry Cleaning Service * Laundry Service * Online Services * Meal Service * Planned Social Activities * Pet Play Area * Pet Washing Station,* Built in 2014 * 300 Units/7 Stories,* Elevator * Business Center * Clubhouse * Lounge * Multi Use Room * Breakfast/Coffee Concierge * Disposal Chutes * Conference Room * Corporate Suites,* Fenced Lot * Roof Terrace * Sundeck * Cabana * Courtyard * Grill * Picnic Area * Balcony * Patio * Yard * Grill * Garden
[Keystone Apartments](https://www.apartments.com/keystone-apartments-northglenn-co/3p20rfe/),720-250-9858,"[12150 Race St, Northglenn, CO 80241](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/12150+Race+St,+Northglenn,+CO+80241/data=!4m2!4m1!3e2)",575 - 645 Sq Ft,869 Sq Ft,"$1,469 - 1,851",1469-1529,1684-1851,Dogs and Cats Allowed: We welcome 2 pets per apartment home. Please contact the leasing office for more information about our pet policy.  * $200 Deposit * $35 Monthly Pet Rent * $250 - 350 Fee * 100 lb Weight Limit * 2 Pet Limit,13.3 mi,21 mins,Surface Lot 1 space.,* Fitness Center * Pool * Basketball Court,* Dishwasher * Disposal * Microwave * Range * Refrigerator,* BBQ/Picnic Area * Covered Parking * Hardwood Flooring * Oversized Windows * Smoke Free * Stainless-Steel Appliances * Vaulted Ceiling,* Washer/Dryer * Washer/Dryer Hookup * Air Conditioning * Heating * Storage Units * Fireplace,* Views * Walk-In Closets * Window Coverings,"3 months,6 months,7 months,9 months,12 months,13 months",* Maintenance on site * Online Services,* Built in 1986 * 208 Units/3 Stories,* Clubhouse,* Courtyard * Balcony * Patio
[The Apartments at Denver Place](https://www.apartments.com/the-apartments-at-denver-place-denver-co/ln0vykf/),877-552-0928,"[1880 Arapahoe St, Denver, CO 80202](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/1880+Arapahoe+St,+Denver,+CO+80202/data=!4m2!4m1!3e2)",768 - 994 Sq Ft,"1,411 Sq Ft","$1,520 - 3,675",1520-2260,2280-3675,"Dogs and Cats Allowed: Large dogs are welcome, but breed restrictions apply. The Apartments at Denver Place welcomes cats & dogs. Contact a Leasing Associate for additional details.  * $400 Deposit * $30 Monthly Pet Rent * $400 Fee * 2 Pet Limit",0.6 mi,4 mins,Surface Lot Parking Available,* Fitness Center * Pool * Bike Storage,* Range,* Balcony * Beige Cabinetry * Bike Storage * Black Appliances * Black Granite Countertop * Cash Payments Via Moneygram * Cherry Wood Cabinetry * Chestnut Vinyl Plank Floors * City & Mountain Views * Clean-steel Appliances* * Complimentary Wi-Fi and Coffee in Lobby * Concierge Service * Electronic Communications with Management Office * Flat Panel Brown Cabinetry * Free e-Check Payments * Generous Closet Space * Gold Granite Countertop * Granite Countertops* * Gray Cabinetry * Hardwood Floors* * Kitchen Tile Backsplash * Oak Cabinetry * Online Rent Payments * Online Service Requests and Status Updates * Partially Renovated Unit * Patios/Balconies* * Penthouse * Personal Account Management * Recurring Auto-Payment Option * Renovated Apartment Homes* * Renovated Penthouse * Renovated Unit * Resident Events * Scenic Mountain View * Silver Vinyl Plank Floors * Stainless Steel Appliances * Tan Vinyl Plank Floors * Tile Shower Surround * Unobstructed Mountain View * Voted Top Rated in 2017! * Voted Top Resident Satisfaction in 2018! * Washer/Dryer* * White Cabinetry * White Granite Countertop,* High Speed Internet Access * Heating * Smoke Free,* Walk-In Closets,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",* Maintenance on site * Property Manager on Site * Concierge,* Built in 1983 * 193 Units/37 Stories,,* Balcony
[The Retreat at Park Meadows](https://www.apartments.com/the-retreat-at-park-meadows-littleton-co/n3mcrrm/),720-208-9267,"[10200 Park Meadows Dr, Littleton, CO 80124](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/10200+Park+Meadows+Dr,+Littleton,+CO+80124/data=!4m2!4m1!3e2)",712 Sq Ft,"1,409 Sq Ft","$1,307 - 3,514",1307-3514,1605-2765,Dogs Allowed Pets accepted with breed restrictions.  * $100 Deposit * $35 Monthly Pet Rent * $250 Fee * 55 lb Weight Limit * 2 Pet Limit,20.65 mi,27 mins,Surface Lot 1 space.,* Spa * Bike Storage * Basketball Court * Tennis Court * Volleyball Court * Putting Greens * Golf Course,* Stainless Steel Appliances * Pantry * Island Kitchen * Eat-in Kitchen * Microwave * Range * Freezer * Breakfast Nook * Instant Hot Water,* 22-Seat Movie Theater * 9 Ft Ceilings * Acres Green Elementary School * Art Niches * Billiards Room * Built-in Book Shelves * Cresthill Middle School * Douglas County School District * Full Size Pantry * Gas Fireplaces in Select Units * Half-Court Outdoor Basketball Court * Ice Makers * Individual Climate Control * Large Well Equiped 24-hour Athletic Center * NightPatrol * Other * Over-sized Windows * Soaking Size Tubs * Two-heated resort-style pools * University of Phoenix - Denver Campus,* High Speed Internet Access * Wi-Fi * Washer/Dryer * Heating * Ceiling Fans * Cable Ready * Satellite TV * Trash Compactor * Storage Units * Double Vanities * Tub/Shower * Fireplace * Framed Mirrors,* Hardwood Floors * Carpet * Dining Room * Den * Crown Molding * Vaulted Ceiling * Views * Walk-In Closets * Double Pane Windows * Window Coverings,,* Wi-Fi at Pool and Clubhouse * Controlled Access * 24 Hour Availability * Trash Pickup - Curbside * Recycling * Online Services * Planned Social Activities * Pet Play Area * Pet Washing Station,* Built in 2011 * 1037 Units/3 Stories,* Business Center * Multi Use Room * Conference Room,* Courtyard * Grill * Picnic Area * Balcony * Patio * Porch * Deck * Lawn * Grill * Garden
[Observatory Park Place](https://www.apartments.com/observatory-park-place-denver-co/nv8vg1n/),844-292-3448,"[2350 S University Blvd, Denver, CO 80210](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/2350+S+University+Blvd,+Denver,+CO+80210/data=!4m2!4m1!3e2)",598 Sq Ft,887 - 939 Sq Ft,"$1,433 - 2,215",1433-1590,1900-2215,Dogs and Cats Allowed 2 pets total allowed.  * $200 Deposit * $25 Monthly Pet Rent * $200 Fee * 2 Pet Limit,8.0 mi,15 mins,Covered: $150 Assigned Parking.,,* Dishwasher * Disposal * Stainless Steel Appliances * Kitchen * Microwave * Oven * Range * Refrigerator,"* 2 blocks from DU campus * 2 pets max, no weight limit * 24-hr emergency maintenance * Brand-new construction * Easy access to light rail and I-25 * High ceilings * Individual heating/cooling control * Interior Retractable Garage Door * Juliette balcony (select units) * Private deck (select units) * Stainless appliances * Walk-in closets (select units) * Washer/Dryer in unit",* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Smoke Free * Storage Units * Tub/Shower,* Carpet * Views * Walk-In Closets * Double Pane Windows * Window Coverings,None,* Controlled Access * Maintenance on site * Property Manager on Site * Recycling,* Built in 2013 * 18 Units/4 Stories,* Elevator * Storage Space,* Balcony * Deck
[One City Block](https://www.apartments.com/one-city-block-denver-co/p8bpmnt/),844-838-2242,"[444 E 19th Ave, Denver, CO 80203](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/444+E+19th+Ave,+Denver,+CO+80203/data=!4m2!4m1!3e2)",576 Sq Ft,991 Sq Ft,"$1,400 - 3,196",1652-2369,2141-3196,"Dogs Allowed: We welcome 2 pets per apartment home. There is a non-refundable pet fee of $400 for Dogs and $200 for Cats. Breed restrictions apply. Please contact leasing office for complete pet policy details. There is no weight limit on pets. Pets are limited to 2 only per apartment home. * Breeds that are restricted are: Rottweiler, Pit-bull (American Pit Bull Terrier, American Staffordshire Terrier, Staffordshire Bull Terrier), Chow Chow, Akita, Wolf...  * $800 Deposit * $35 Monthly Pet Rent * $400 Fee * 2 Pet Limit",1.25 mi,7 mins,Covered,* Fitness Center * Sauna * Spa * Pool * Playground * Bike Storage * Putting Greens * Gameroom,* Dishwasher * Disposal * Stainless Steel Appliances * Island Kitchen * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,"* 12 Ft Ceiling * 4 Unique Roof-Top Terraces * Accent Mirrors * Arched Windows * Arched Windows* * Attached garage * Bike Repair Shop * Community Grills * Demonstration Kitchen with Gathering Space * Firepits * Fitness on Demand * Floor to Ceiling Windows * Full Size Sports Court * Full Size Sports Court with Outdoor Fitness ... * Full-Size Washer/Dryer * Game Room with Ping Pong Table & Pool Table * In Select Apartment Homes* * Juliet Balcony * Outdoor Gathering Spaces * Plank Style Flooring * Practice Putting Green * Private Pet Spa * Quartz Countertops * Stainless Steel, Energy Star Appliances * Stand-up Shower * Stand-up Shower* * Upgraded Paw Spa with Professinal Grooming ... * Walk In Closets* (some units only) * Washer/Dryer Included * Wi-Fi Access * Yoga studio+",* High Speed Internet Access * Wi-Fi * Washer/Dryer * Air Conditioning * Ceiling Fans * Cable Ready,* Hardwood Floors * Bay Window * Walk-In Closets * Window Coverings,None,* Laundry Facilities * Maintenance on site * Property Manager on Site * Concierge * Pet Care * Pet Washing Station,* Built in 2013 * 302 Units/4 Stories * LEED Certified Silver,* Business Center * Clubhouse,* Balcony * Patio * Grill
